"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.657273300E-2,8.433962613E-2,9.513555467E-2,4.867935181E-2
5.658249800E-2,1.757984608E-2,-2.862579376E-2,2.932834625E-2
6.662278200E-2,8.588664234E-3,-3.981329501E-2,-3.355979919E-3
7.663254700E-2,7.254528999E-2,3.868423402E-2,-5.268478394E-2
8.664231300E-2,9.784016013E-2,1.009830087E-2,-4.807472229E-3
9.668259600E-2,3.299370408E-2,-2.280630916E-2,2.481555939E-2
1.066923620E-1,-1.250556111E-2,-2.964457124E-2,2.365112305E-2
1.167326450E-1,-6.835791469E-2,-3.756050020E-2,-2.372837067E-2
1.267424110E-1,-4.296207428E-2,-1.124329120E-2,-8.518218994E-3
1.367521760E-1,2.940280735E-2,-2.207690477E-2,2.368450165E-2
1.467924590E-1,2.091194689E-2,3.076130897E-2,4.817867279E-2
1.568022250E-1,7.144179940E-2,1.312626898E-2,-1.855659485E-2
1.668425080E-1,5.555889010E-2,-2.194679528E-2,-2.084827423E-2
1.768522740E-1,7.863834500E-2,3.631081432E-2,-7.058334351E-2
1.868925570E-1,4.668352008E-2,9.189675748E-2,-3.741645813E-2
1.969023230E-1,1.640965194E-1,7.046413422E-2,-1.189928055E-1
2.069120880E-1,-1.677875370E-1,-8.792780340E-3,9.370613098E-2
2.169218540E-1,5.786076188E-2,-1.343996823E-1,-4.933643341E-2
2.269621370E-1,-1.051716805E-1,-1.646376997E-1,5.961990356E-2
2.369719030E-1,5.388036370E-3,-7.759027183E-2,1.437854767E-2
2.470121860E-1,-4.720346630E-2,2.251997590E-3,3.436756134E-2
2.570219520E-1,3.944240510E-2,2.716717124E-2,2.557182312E-2
2.670317170E-1,-2.304305136E-1,1.271239966E-1,1.482114792E-1
2.770720000E-1,-7.847771049E-4,1.842423528E-1,-1.621627808E-2
2.870817660E-1,6.476378441E-2,2.362132072E-3,-5.264282227E-2
2.971220490E-1,3.888144344E-2,-1.839706302E-2,5.491256714E-3
3.071318150E-1,7.781115919E-2,2.713531256E-3,3.767490387E-2
3.171415800E-1,5.389827490E-2,9.765800834E-2,-3.347301483E-2
